sample	file	group	time	time_h	t_eff_h	temp	batch	is_qc	number_id	replicate
HT40_T2h_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250044969-1A.mzXML	stress_40_T2h	2h	2.0	2.0	40	b1	FALSE	250044969	R1
HT40_T2h_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250044970-1A.mzXML	stress_40_T2h	2h	2.0	2.0	40	b1	FALSE	250044970	R2
HT40_T2h_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250044971-1A.mzXML	stress_40_T2h	2h	2.0	2.0	40	b1	FALSE	250044971	R3
HT40_T2h_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250044972-1A.mzXML	stress_40_T2h	2h	2.0	2.0	40	b1	FALSE	250044972	R4
HT40_T2h_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250044973-1A.mzXML	stress_40_T2h	2h	2.0	2.0	40	b1	FALSE	250044973	R5
CK25_T1d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250044974-1A.mzXML	control_25_T1d	1d	24.0	24.0	25	b1	FALSE	250044974	R1
CK25_T1d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250044975-1A.mzXML	control_25_T1d	1d	24.0	24.0	25	b1	FALSE	250044975	R2
CK25_T1d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250044976-1A.mzXML	control_25_T1d	1d	24.0	24.0	25	b1	FALSE	250044976	R3
CK25_T1d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250044977-1A.mzXML	control_25_T1d	1d	24.0	24.0	25	b1	FALSE	250044977	R4
CK25_T1d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250044978-1A.mzXML	control_25_T1d	1d	24.0	24.0	25	b1	FALSE	250044978	R5
LT10_T1d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250044979-1A.mzXML	stress_10_T1d	1d	24.0	24.0	10	b1	FALSE	250044979	R1
LT10_T1d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250044980-1A.mzXML	stress_10_T1d	1d	24.0	24.0	10	b1	FALSE	250044980	R2
LT10_T1d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250044981-1A.mzXML	stress_10_T1d	1d	24.0	24.0	10	b1	FALSE	250044981	R3
LT10_T1d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250044982-1A.mzXML	stress_10_T1d	1d	24.0	24.0	10	b1	FALSE	250044982	R4
LT10_T1d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250044983-1A.mzXML	stress_10_T1d	1d	24.0	24.0	10	b1	FALSE	250044983	R5
HT40_T1d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250044984-1A.mzXML	stress_40_T1d	1d	24.0	24.0	40	b1	FALSE	250044984	R1
HT40_T1d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250044985-1A.mzXML	stress_40_T1d	1d	24.0	24.0	40	b1	FALSE	250044985	R2
HT40_T1d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250044986-1A.mzXML	stress_40_T1d	1d	24.0	24.0	40	b1	FALSE	250044986	R3
HT40_T1d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250044987-1A.mzXML	stress_40_T1d	1d	24.0	24.0	40	b1	FALSE	250044987	R4
HT40_T1d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250044988-1A.mzXML	stress_40_T1d	1d	24.0	24.0	40	b1	FALSE	250044988	R5
CK25_T3d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250044989-1A.mzXML	control_25_T3d	3d	72.0	72.0	25	b1	FALSE	250044989	R1
CK25_T3d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250044990-1A.mzXML	control_25_T3d	3d	72.0	72.0	25	b1	FALSE	250044990	R2
CK25_T3d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250044991-1A.mzXML	control_25_T3d	3d	72.0	72.0	25	b1	FALSE	250044991	R3
CK25_T3d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250044992-1A.mzXML	control_25_T3d	3d	72.0	72.0	25	b1	FALSE	250044992	R4
CK25_T3d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250044993-1A.mzXML	control_25_T3d	3d	72.0	72.0	25	b1	FALSE	250044993	R5
LT10_T3d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250044994-1A.mzXML	stress_10_T3d	3d	72.0	72.0	10	b1	FALSE	250044994	R1
LT10_T3d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250044995-1A.mzXML	stress_10_T3d	3d	72.0	72.0	10	b1	FALSE	250044995	R2
LT10_T3d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250044996-1A.mzXML	stress_10_T3d	3d	72.0	72.0	10	b1	FALSE	250044996	R3
LT10_T3d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250044997-1A.mzXML	stress_10_T3d	3d	72.0	72.0	10	b1	FALSE	250044997	R4
LT10_T3d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250044998-1A.mzXML	stress_10_T3d	3d	72.0	72.0	10	b1	FALSE	250044998	R5
HT40_T3d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C9_FZTM250044999-1A.mzXML	stress_40_T3d	3d	72.0	72.0	40	b1	FALSE	250044999	R1
HT40_T3d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C9_FZTM250045000-1A.mzXML	stress_40_T3d	3d	72.0	72.0	40	b1	FALSE	250045000	R2
HT40_T3d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C9_FZTM250045001-1A.mzXML	stress_40_T3d	3d	72.0	72.0	40	b1	FALSE	250045001	R3
HT40_T3d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C9_FZTM250045002-1A.mzXML	stress_40_T3d	3d	72.0	72.0	40	b1	FALSE	250045002	R4
HT40_T3d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C9_FZTM250045003-1A.mzXML	stress_40_T3d	3d	72.0	72.0	40	b1	FALSE	250045003	R5
CK25_T7d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C10_FZTM250045004-1A.mzXML	control_25_T7d	7d	168.0	168.0	25	b1	FALSE	250045004	R1
CK25_T7d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C10_FZTM250045005-1A.mzXML	control_25_T7d	7d	168.0	168.0	25	b1	FALSE	250045005	R2
CK25_T7d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C10_FZTM250045006-1A.mzXML	control_25_T7d	7d	168.0	168.0	25	b1	FALSE	250045006	R3
CK25_T7d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C10_FZTM250045007-1A.mzXML	control_25_T7d	7d	168.0	168.0	25	b1	FALSE	250045007	R4
CK25_T7d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C10_FZTM250045008-1A.mzXML	control_25_T7d	7d	168.0	168.0	25	b1	FALSE	250045008	R5
LT10_T7d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C11_FZTM250045009-1A.mzXML	stress_10_T7d	7d	168.0	168.0	10	b1	FALSE	250045009	R1
LT10_T7d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C11_FZTM250045010-1A.mzXML	stress_10_T7d	7d	168.0	168.0	10	b1	FALSE	250045010	R2
LT10_T7d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C11_FZTM250045011-1A.mzXML	stress_10_T7d	7d	168.0	168.0	10	b1	FALSE	250045011	R3
LT10_T7d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C11_FZTM250045012-1A.mzXML	stress_10_T7d	7d	168.0	168.0	10	b1	FALSE	250045012	R4
LT10_T7d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C11_FZTM250045013-1A.mzXML	stress_10_T7d	7d	168.0	168.0	10	b1	FALSE	250045013	R5
HT40_T7d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C12_FZTM250045014-1A.mzXML	stress_40_T7d	7d	168.0	168.0	40	b1	FALSE	250045014	R1
HT40_T7d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C12_FZTM250045015-1A.mzXML	stress_40_T7d	7d	168.0	168.0	40	b1	FALSE	250045015	R2
HT40_T7d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C12_FZTM250045016-1A.mzXML	stress_40_T7d	7d	168.0	168.0	40	b1	FALSE	250045016	R3
HT40_T7d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C12_FZTM250045017-1A.mzXML	stress_40_T7d	7d	168.0	168.0	40	b1	FALSE	250045017	R4
HT40_T7d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C12_FZTM250045018-1A.mzXML	stress_40_T7d	7d	168.0	168.0	40	b1	FALSE	250045018	R5
CK25_T14d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059097-1A.mzXML	control_25_T14d	14d	336.0	336.0	25	b1	FALSE	250059097	R1
CK25_T14d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059098-1A.mzXML	control_25_T14d	14d	336.0	336.0	25	b1	FALSE	250059098	R2
CK25_T14d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059099-1A.mzXML	control_25_T14d	14d	336.0	336.0	25	b1	FALSE	250059099	R3
CK25_T14d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059100-1A.mzXML	control_25_T14d	14d	336.0	336.0	25	b1	FALSE	250059100	R4
CK25_T14d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059101-1A.mzXML	control_25_T14d	14d	336.0	336.0	25	b1	FALSE	250059101	R5
HT35_T2h_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250059102-1A.mzXML	stress_35_T2h	2h	2.0	2.0	35	b1	FALSE	250059102	R1
HT35_T2h_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250059103-1A.mzXML	stress_35_T2h	2h	2.0	2.0	35	b1	FALSE	250059103	R2
HT35_T2h_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250059104-1A.mzXML	stress_35_T2h	2h	2.0	2.0	35	b1	FALSE	250059104	R3
HT35_T2h_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250059105-1A.mzXML	stress_35_T2h	2h	2.0	2.0	35	b1	FALSE	250059105	R4
HT35_T2h_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250059106-1A.mzXML	stress_35_T2h	2h	2.0	2.0	35	b1	FALSE	250059106	R5
HT35_T1d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250059107-1A.mzXML	stress_35_T1d	1d	24.0	24.0	35	b1	FALSE	250059107	R1
HT35_T1d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250059108-1A.mzXML	stress_35_T1d	1d	24.0	24.0	35	b1	FALSE	250059108	R2
HT35_T1d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250059109-1A.mzXML	stress_35_T1d	1d	24.0	24.0	35	b1	FALSE	250059109	R3
HT35_T1d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250059110-1A.mzXML	stress_35_T1d	1d	24.0	24.0	35	b1	FALSE	250059110	R4
HT35_T1d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250059111-1A.mzXML	stress_35_T1d	1d	24.0	24.0	35	b1	FALSE	250059111	R5
HT35_T3d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250059112-1A.mzXML	stress_35_T3d	3d	72.0	72.0	35	b1	FALSE	250059112	R1
HT35_T3d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250059113-1A.mzXML	stress_35_T3d	3d	72.0	72.0	35	b1	FALSE	250059113	R2
HT35_T3d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250059114-1A.mzXML	stress_35_T3d	3d	72.0	72.0	35	b1	FALSE	250059114	R3
HT35_T3d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250059115-1A.mzXML	stress_35_T3d	3d	72.0	72.0	35	b1	FALSE	250059115	R4
HT35_T3d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250059116-1A.mzXML	stress_35_T3d	3d	72.0	72.0	35	b1	FALSE	250059116	R5
HT35_T7d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250059117-1A.mzXML	stress_35_T7d	7d	168.0	168.0	35	b1	FALSE	250059117	R1
HT35_T7d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250059118-1A.mzXML	stress_35_T7d	7d	168.0	168.0	35	b1	FALSE	250059118	R2
HT35_T7d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250059119-1A.mzXML	stress_35_T7d	7d	168.0	168.0	35	b1	FALSE	250059119	R3
HT35_T7d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250059120-1A.mzXML	stress_35_T7d	7d	168.0	168.0	35	b1	FALSE	250059120	R4
HT35_T7d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250059121-1A.mzXML	stress_35_T7d	7d	168.0	168.0	35	b1	FALSE	250059121	R5
HT35_T14d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250059122-1A.mzXML	stress_35_T14d	14d	336.0	336.0	35	b1	FALSE	250059122	R1
HT35_T14d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250059123-1A.mzXML	stress_35_T14d	14d	336.0	336.0	35	b1	FALSE	250059123	R2
HT35_T14d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250059124-1A.mzXML	stress_35_T14d	14d	336.0	336.0	35	b1	FALSE	250059124	R3
HT35_T14d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250059125-1A.mzXML	stress_35_T14d	14d	336.0	336.0	35	b1	FALSE	250059125	R4
HT35_T14d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250059126-1A.mzXML	stress_35_T14d	14d	336.0	336.0	35	b1	FALSE	250059126	R5
LT10_T14d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059477-1A.mzXML	stress_10_T14d	14d	336.0	336.0	10	b1	FALSE	250059477	R1
LT10_T14d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059478-1A.mzXML	stress_10_T14d	14d	336.0	336.0	10	b1	FALSE	250059478	R2
LT10_T14d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059479-1A.mzXML	stress_10_T14d	14d	336.0	336.0	10	b1	FALSE	250059479	R3
LT10_T14d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059480-1A.mzXML	stress_10_T14d	14d	336.0	336.0	10	b1	FALSE	250059480	R4
LT10_T14d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059481-1A.mzXML	stress_10_T14d	14d	336.0	336.0	10	b1	FALSE	250059481	R5
CK25_T8d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250069392-1A.mzXML	control_25_T8d	8d	192.0	192.0	25	b1	FALSE	250069392	R1
CK25_T8d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250069393-1A.mzXML	control_25_T8d	8d	192.0	192.0	25	b1	FALSE	250069393	R2
CK25_T8d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250069394-1A.mzXML	control_25_T8d	8d	192.0	192.0	25	b1	FALSE	250069394	R3
CK25_T8d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250069395-1A.mzXML	control_25_T8d	8d	192.0	192.0	25	b1	FALSE	250069395	R4
CK25_T8d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250069396-1A.mzXML	control_25_T8d	8d	192.0	192.0	25	b1	FALSE	250069396	R5
CK25_T10d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250069397-1A.mzXML	control_25_T10d	10d	240.0	240.0	25	b1	FALSE	250069397	R1
CK25_T10d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250069398-1A.mzXML	control_25_T10d	10d	240.0	240.0	25	b1	FALSE	250069398	R2
CK25_T10d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250069399-1A.mzXML	control_25_T10d	10d	240.0	240.0	25	b1	FALSE	250069399	R3
CK25_T10d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250069400-1A.mzXML	control_25_T10d	10d	240.0	240.0	25	b1	FALSE	250069400	R4
CK25_T10d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250069401-1A.mzXML	control_25_T10d	10d	240.0	240.0	25	b1	FALSE	250069401	R5
HTR_T6h_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250069402-1A.mzXML	recovery_from_35_T6h	6h	6.0	174.0	25	b1	FALSE	250069402	R1
HTR_T6h_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250069403-1A.mzXML	recovery_from_35_T6h	6h	6.0	174.0	25	b1	FALSE	250069403	R2
HTR_T6h_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250069404-1A.mzXML	recovery_from_35_T6h	6h	6.0	174.0	25	b1	FALSE	250069404	R3
