sample_id,big_region,sub_region,fastq1,fastq2
population2_ZH09,population2,ZH09,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH09/DP8450001333TR_L01_469_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH09/DP8450001333TR_L01_469_2.fq.gz
population2_ZH10,population2,ZH10,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH10/DP8450001333TR_L01_470_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH10/DP8450001333TR_L01_470_2.fq.gz
population5_NN01,population5,NN01,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN01/E100055946_L01_409_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN01/E100055946_L01_409_2.fq.gz
population5_NN02,population5,NN02,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN02/FP150000310TL_L01_194_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN02/FP150000310TL_L01_194_2.fq.gz
population5_NN03,population5,NN03,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN03/E100055946_L01_410_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN03/E100055946_L01_410_2.fq.gz
population5_NN04,population5,NN04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN04/E100055946_L01_411_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN04/E100055946_L01_411_2.fq.gz
population5_NN05,population5,NN05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN05/FP150000349BR_L01_195_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN05/FP150000349BR_L01_195_2.fq.gz
population5_YL04,population5,YL04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL04/FP150000349BR_L01_196_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL04/FP150000349BR_L01_196_2.fq.gz
population5_YL05,population5,YL05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL05/FP150000349BR_L01_197_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL05/FP150000349BR_L01_197_2.fq.gz
population5_YL06,population5,YL06,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL06/FP150000349BR_L01_198_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL06/FP150000349BR_L01_198_2.fq.gz
population5_YL07,population5,YL07,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL07/E100055946_L01_413_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL07/E100055946_L01_413_2.fq.gz
population5_YL08,population5,YL08,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL08/FP150000349BR_L01_199_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL08/FP150000349BR_L01_199_2.fq.gz
population6_DZ01,population6,DZ01,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ01/FP150000409TR_L01_463_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ01/FP150000409TR_L01_463_2.fq.gz
population6_DZ02,population6,DZ02,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ02/FP150000409TR_L01_462_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ02/FP150000409TR_L01_462_2.fq.gz
population6_DZ03,population6,DZ03,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ03/FP150000413BL_L01_457_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ03/FP150000413BL_L01_457_2.fq.gz
population6_DZ04,population6,DZ04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ04/FP150000413BL_L01_453_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ04/FP150000413BL_L01_453_2.fq.gz
