sample,number_id,temp,phase,time,time_h,t_eff_h,replicate,pos_file,pos_inj,neg_file,neg_inj,sample_type
HT40_T1d_R5,250044988,40,stress_40_T1d,1d,24.0,24.0,R5,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250044988-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C6_FZTM250044988-1A.mzXML,1A,biological
CK25_T3d_R1,250044989,25,control_25_T3d,3d,72.0,72.0,R1,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250044989-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C7_FZTM250044989-1A.mzXML,1A,biological
CK25_T3d_R2,250044990,25,control_25_T3d,3d,72.0,72.0,R2,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250044990-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C7_FZTM250044990-1A.mzXML,1A,biological
CK25_T3d_R3,250044991,25,control_25_T3d,3d,72.0,72.0,R3,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250044991-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C7_FZTM250044991-1A.mzXML,1A,biological
CK25_T3d_R4,250044992,25,control_25_T3d,3d,72.0,72.0,R4,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250044992-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C7_FZTM250044992-1A.mzXML,1A,biological
CK25_T3d_R5,250044993,25,control_25_T3d,3d,72.0,72.0,R5,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250044993-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C7_FZTM250044993-1A.mzXML,1A,biological
LT10_T3d_R1,250044994,10,stress_10_T3d,3d,72.0,72.0,R1,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250044994-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C8_FZTM250044994-1A.mzXML,1A,biological
LT10_T3d_R2,250044995,10,stress_10_T3d,3d,72.0,72.0,R2,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250044995-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C8_FZTM250044995-1A.mzXML,1A,biological
LT10_T3d_R3,250044996,10,stress_10_T3d,3d,72.0,72.0,R3,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250044996-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C8_FZTM250044996-1A.mzXML,1A,biological
LT10_T3d_R4,250044997,10,stress_10_T3d,3d,72.0,72.0,R4,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250044997-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C8_FZTM250044997-1A.mzXML,1A,biological
